date,price_usd,mvrv,vfl_ratio,vfl_signal,vfl_confidence,fair_ratio,fair_price_usd,sth_realized_price_usd,sth_ratio,sth_confirmation,lth_realized_price_usd,lth_ratio,lth_confirmation,cap_real_usd,cap_real_30d_usd,cap_real_30d_pct,capital_flow_label,rsi,rsi_capitulation,rsi_alert_reference_exposure,fair_buy_price_usd,fair_sell_price_usd,fair_reversal_price_usd,vfl_regime_price_usd,vfl_regime_direction,fair_zone,combined_signal,target_exposure,macro_exposure,execution_cap,current_exposure_pct,execution_note,recomposition_note,visual_alert_signal,visual_alert_exposure,macro_exposure_with_visual_alerts,strategy_equity,visual_alert_equity_reference,buy_hold_equity,vol_mult_ma90,vol14,dd60,ret7,ret30,volume_status
2011-01-26,0.415085129748685,3.28267628,0.7150657704590724,0,VERMELHO MUITO FORTE,0.9988770164423273,0.41555178757349154,NaN,NaN,STH INDISPONÍVEL,NaN,NaN,LTH INDISPONÍVEL,662380.8618970835,252101.10589256068,0.614461479522235,FLUXO FORTE,63.16838480983763,AGUARDAR RSI,0,0.3989297160705519,0.4363293769521661,0.38646316244334716,,,Abaixo da EMA4,ALVO 0%,0,0,0,,,,AGUARDAR,0,0,1,1,1,1.4230,,-0.061742,0.326193,0.567629,real
2011-01-27,0.4212,3.29852211,0.7311890158448809,0,VERMELHO MUITO FORTE,1.008111148025038,0.41781107254409494,NaN,NaN,STH INDISPONÍVEL,NaN,NaN,LTH INDISPONÍVEL,669931.4439338411,256265.79016698012,0.6194998009465145,FLUXO FORTE,63.879138174875564,AGUARDAR RSI,0,0.4010986296423311,0.4387016261712997,0.3885642974660083,,,Manter 100%,ALVO 0%,0,0,0,,,,SEM DESCONTO,0,0,1,1,1.0147316051890785,2.6783,,-0.047920,0.080000,0.498932,real
2011-01-28,0.444484044418469,3.44964227,0.7361939021980994,0,VERMELHO MUITO FORTE,1.037350105874887,0.4284802612938446,NaN,NaN,STH INDISPONÍVEL,NaN,NaN,LTH INDISPONÍVEL,677012.9572270002,254748.01093769545,0.6032895062124359,FLUXO FORTE,66.46639132143787,AGUARDAR RSI,0,0.41134105084209077,0.44990427435853686,0.39848664300327546,,,Manter 100%,ALVO 0%,0,0,0,,,,SEM DESCONTO,0,0,1,1,1.070826229519674,0.5136,,0.000000,0.058522,0.481613,real
2011-01-29,0.439,3.35970677,0.7396115060411527,0,VERMELHO MUITO FORTE,1.0145875109471885,0.4326881567763068,NaN,NaN,STH INDISPONÍVEL,NaN,NaN,LTH INDISPONÍVEL,687611.0947027678,261619.734478941,0.6141432876513724,FLUXO FORTE,65.30950926740908,AGUARDAR RSI,0,0.4153806305052545,0.45432256461512216,0.40239998580196534,,,Manter 100%,ALVO 0%,0,0,0,,,,SEM DESCONTO,0,0,1,1,1.0576143748290727,0.1462,,-0.012338,-0.002353,0.463333,real
2011-01-30,0.477142033898305,3.62408311,0.7461053293442125,0,VERMELHO MUITO FORTE,1.0592100330426577,0.4504697076251061,NaN,NaN,STH INDISPONÍVEL,NaN,NaN,LTH INDISPONÍVEL,693861.043917713,265061.76761250454,0.618148822209859,FLUXO FORTE,69.2217301762569,AGUARDAR RSI,0,0.4324509193201018,0.4729931930063614,0.4189368280913487,,,Reduzir para 50%,ALVO 0%,0,0,0,,,,SEM DESCONTO,0,0,1,1,1.1495040407426607,1.0830,,0.000000,0.078531,0.590473,real
2011-01-31,0.525136870251315,3.88967746,0.760791008224361,0,VERMELHO MUITO FORTE,1.0932685540186478,0.4803365726755896,NaN,NaN,STH INDISPONÍVEL,NaN,NaN,LTH INDISPONÍVEL,712659.0234430656,280845.28942852945,0.6503852640756336,FLUXO FORTE,73.21304704708533,AGUARDAR RSI,0,0.461123109768566,0.5043534013093691,0.4467130125882984,,,Reduzir para 50%,ALVO 0%,0,0,0,,,,SEM DESCONTO,0,0,1,1,1.265130530137905,6.8703,,0.000000,0.250624,0.750456,real
2011-02-01,0.707510116890707,5.02344554,0.7979382975538741,0,VERMELHO MUITO FORTE,1.2386251699544937,0.5712059903616366,NaN,NaN,STH INDISPONÍVEL,NaN,NaN,LTH INDISPONÍVEL,744608.4229836469,308269.0504174334,0.7064891912101154,FLUXO FORTE,82.34682909702092,AGUARDAR RSI,0,0.5483577507471711,0.5997662898797184,0.5312215710363221,,,Reduzir para 50%,ALVO 0%,0,0,0,,,,SEM DESCONTO,0,0,1,1,1.7044940090218887,4.7589,,0.000000,0.725634,1.358603,real
2011-02-02,0.725434821741671,4.95514811,0.8339770140658666,0,VERMELHO MUITO FORTE,1.1462121362112616,0.6328975229136503,NaN,NaN,STH INDISPONÍVEL,NaN,NaN,LTH INDISPONÍVEL,775152.616460684,335535.1950020585,0.7632436264440383,FLUXO FORTE,82.94691105487095,AGUARDAR RSI,0,0.6075816219971043,0.6645423990593329,0.5885946963096949,,,Reduzir para 50%,ALVO 0%,0,0,0,,,,SEM DESCONTO,0,0,1,1,1.7476772106504719,0.8481,,0.000000,0.747677,1.459101,real
2011-02-03,0.693898367621274,4.68663449,0.8551751162528671,0,VERMELHO MUITO FORTE,1.055683289125894,0.6572978607966997,NaN,NaN,STH INDISPONÍVEL,NaN,NaN,LTH INDISPONÍVEL,785119.8075623155,343073.9067209782,0.7761047123568217,FLUXO FORTE,78.04587450299265,AGUARDAR RSI,0,0.6310059463648318,0.6901627538365347,0.6112870105409308,,,Reduzir para 50%,ALVO 0%,0,0,0,,,,SEM DESCONTO,0,0,1,1,1.671701340015234,1.2541,,-0.043472,0.647432,1.321118,real
2011-02-04,0.810958971361777,5.36029838,0.8833706344074671,0,VERMELHO MUITO FORTE,1.128271426721704,0.7187623050227306,NaN,NaN,STH INDISPONÍVEL,NaN,NaN,LTH INDISPONÍVEL,803719.9950445431,358771.40461225103,0.8063210274779944,FLUXO FORTE,82.15532354923019,AGUARDAR RSI,0,0.6900118128218213,0.7547004202738672,0.6684489436711395,,,Reduzir para 50%,ALVO 0%,0,0,0,,,,SEM DESCONTO,0,0,1,1,1.9537172335052702,6.6492,,0.000000,0.824495,1.712997,real
